Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides UPS2_yeast	Razor + unique peptides UPS2_yeast	Unique peptides UPS2_yeast	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type UPS2_yeast	Sequence coverage UPS2_yeast [%]	Intensity	Intensity UPS2_yeast	iBAQ	iBAQ UPS2_yeast	LFQ intensity UPS2_yeast	MS/MS Count UPS2_yeast	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P07262|DHE4_YEAST;sp|P39708|DHE5_YEAST	sp|P07262|DHE4_YEAST	15;6	15;6	15;6	>sp|P07262|DHE4_YEAST NADP-specific glutamate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GDH1 PE=1 SV=2	2	15	15	15	15	15	15	45.6	45.6	45.6	49.569	454	454;457	1	52	0	80.43	By MS/MS	45.6	3469900000	3469900000	111930000	111930000	7408100000	45	45				153	46;1567;2185;2241;2514;3118;3841;5780;6631;6814;7641;7937;7940;8168;8191	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	46;1587;2212;2269;2545;3162;3894;5883;6743;6929;7763;8065;8068;8299;8322	168;169;170;171;172;5692;5693;5694;8078;8079;8080;8299;8300;8301;9283;9284;9285;11629;11630;11631;11632;11633;11634;14357;14358;21818;21819;21820;24923;24924;24925;25624;25625;25626;28579;28580;28581;29873;29874;29875;29882;29883;29884;30755;30756;30757;30835;30836;30837;30838;30839;30840	193;194;195;196;5625;5626;5627;8100;8310;8311;8312;9321;9322;9323;11621;11622;11623;11624;11625;14543;22099;22100;22101;25287;25288;25289;26060;26061;26062;26063;26064;26065;29107;29108;29109;30441;30442;30443;30448;30449;30450;31339;31340;31408;31409;31410;31411	196;5627;8100;8310;9323;11621;14543;22100;25287;26065;29108;30441;30448;31340;31410		
sp|P07263-2|SYH_YEAST;sp|P07263|SYH_YEAST	sp|P07263-2|SYH_YEAST;sp|P07263|SYH_YEAST	7;7	6;6	6;6	>sp|P07263-2|SYH_YEAST Isoform Cytoplasmic of Histidine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HTS1;>sp|P07263|SYH_YEAST Histidine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 	2	7	6	6	7	6	6	15.8	14.1	14.1	57.75	526	526;546	1	17	0	16.358	By MS/MS	15.8	923200000	923200000	32971000	32971000	2005700000	11	11				154	1259;1266;4623;5020;8432;8434;8718	True;True;True;True;False;True;True	1276;1283;4688;5092;8570;8572;8859	4616;4617;4618;4635;4636;17480;17481;17482;18990;18991;18992;31812;31813;31814;31818;31819;31820;32958;32959;32960	4508;4523;4524;17723;17724;17725;19307;32429;32430;32431;32432;32433;32436;32437;32438;33569;33570;33571	4508;4523;17725;19307;32430;32438;33569		
sp|P07264|LEUC_YEAST	sp|P07264|LEUC_YEAST	21	21	21	>sp|P07264|LEUC_YEAST 3-isopropylmalate dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU1 PE=1 SV=3	1	21	21	21	21	21	21	32.3	32.3	32.3	85.793	779	779	1	68	0	106.48	By MS/MS	32.3	3039500000	3039500000	75987000	75987000	6710400000	54	54				155	217;322;447;1321;1535;3029;3146;3412;4596;5370;5548;5902;6320;6395;6396;6545;6622;7176;7628;7735;8678	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	221;328;454;1339;1554;3073;3190;3461;4661;5460;5644;6005;6426;6502;6503;6656;6734;7292;7750;7858;8819	879;880;881;1289;1290;1291;1739;1740;1741;4813;4814;4815;5589;5590;5591;11194;11195;11196;11727;11728;11729;11730;11731;11732;12741;12742;17298;17299;17300;20370;20371;20372;20373;21032;21033;21034;22250;22251;22252;23799;23800;24034;24035;24036;24037;24038;24039;24040;24041;24595;24596;24597;24901;24902;24903;26886;26887;26888;28533;28534;28535;28904;28905;28906;28907;32810;32811;32812	946;1305;1306;1307;1729;1730;4691;4692;5531;5532;5533;5534;11175;11730;11731;11732;11733;11734;11735;11736;12766;12767;17499;17500;20694;20695;20696;21356;21357;21358;22567;22568;24190;24191;24407;24408;24409;24410;24411;24412;24413;24414;24415;24957;24958;25265;27408;27409;27410;29063;29064;29430;29431;29432;33427;33428	946;1307;1730;4692;5534;11175;11734;12766;17500;20696;21358;22568;24191;24412;24415;24958;25265;27408;29064;29432;33428		
sp|P07267|CARP_YEAST	sp|P07267|CARP_YEAST	10	10	10	>sp|P07267|CARP_YEAST Saccharopepsin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP4 PE=1 SV=1	1	10	10	10	10	10	10	29.1	29.1	29.1	44.498	405	405	1	36	0	95.194	By MS/MS	29.1	5420000000	5420000000	361330000	361330000	11843000000	34	34				156	1199;2035;2073;2526;2976;4041;6022;8245;8246;8768	True;True;True;True;True;True;True;True;True;True	1216;2060;2099;2557;3019;4096;6125;8379;8380;8909	4429;4430;4431;7519;7520;7521;7522;7523;7524;7672;7673;7674;9318;9319;9320;10986;10987;10988;15185;15186;15187;15188;15189;22654;31124;31125;31126;31127;31128;31129;31130;31131;31132;33154;33155;33156	4337;4338;4339;7507;7508;7509;7510;7511;7512;7513;7514;7661;7662;9358;9359;9360;10958;10959;10960;10961;15326;15327;22944;31727;31728;31729;31730;31731;31732;31733;31734;31735;33758;33759;33760	4337;7507;7661;9358;10959;15326;22944;31728;31732;33759		
sp|P07273|TFS2_YEAST	sp|P07273|TFS2_YEAST	2	2	2	>sp|P07273|TFS2_YEAST Transcription elongation factor S-II OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DST1 PE=1 SV=4	1	2	2	2	2	2	2	7.8	7.8	7.8	34.843	309	309	1	4	0	13.026	By MS/MS	7.8	98903000	98903000	5494600	5494600	219140000	3	3				157	5468;8002	True;True	5561;8131	20723;20724;20725;30116	21030;21031;21032;30686	21030;30686		
sp|P07274|PROF_YEAST	sp|P07274|PROF_YEAST	2	2	2	>sp|P07274|PROF_YEAST Profilin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFY1 PE=1 SV=2	1	2	2	2	2	2	2	23	23	23	13.677	126	126	1	13	0	4.7804	By MS/MS	23	1649500000	1649500000	412370000	412370000	3841100000	9	9				158	3030;6213	True;True	3074;6318	11197;11198;11199;11200;11201;23371;23372;23373;23374;23375;23376;23377;23378	11176;11177;11178;11179;11180;11181;23714;23715;23716	11181;23716		
sp|P07275|PUT2_YEAST	sp|P07275|PUT2_YEAST	3	3	3	>sp|P07275|PUT2_YEAST Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUT2 PE=1 SV=2	1	3	3	3	3	3	3	5	5	5	64.434	575	575	1	9	0	3.5911	By MS/MS	5	208170000	208170000	7710100	7710100	428040000	5	5				159	1744;5230;6747	True;True;True	1766;5307;6862	6392;6393;6394;19816;19817;19818;25372;25373;25374	6362;20176;20177;25799;25800	6362;20176;25799		
sp|P07278|KAPR_YEAST	sp|P07278|KAPR_YEAST	12	12	12	>sp|P07278|KAPR_YEAST cAMP-dependent protein kinase regulatory subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BCY1 PE=1 SV=4	1	12	12	12	12	12	12	39.9	39.9	39.9	47.218	416	416	1	33	0	45.7	By MS/MS	39.9	1209800000	1209800000	50407000	50407000	2553700000	27	27				160	58;924;3585;3927;4219;4689;4770;5140;5603;6721;7421;8015	True;True;True;True;True;True;True;True;True;True;True;True	58;937;3635;3980;4280;4755;4837;5215;5700;6836;7539;8144	248;249;250;3538;3539;3540;13369;13370;13371;14647;14648;14649;15976;17732;17733;17734;18034;18035;19428;19429;19430;21209;21210;21211;25278;25279;25280;27775;27776;27777;30180;30181;30182	298;3495;13399;13400;13401;14813;14814;14815;14816;14817;14818;16165;17998;17999;18000;18299;19754;19755;21524;21525;21526;25702;25703;25704;28271;30759;30760	298;3495;13399;14818;16165;17998;18299;19755;21525;25703;28271;30759		
sp|P07281|RS19B_YEAST;sp|P07280|RS19A_YEAST	sp|P07281|RS19B_YEAST;sp|P07280|RS19A_YEAST	6;6	6;6	6;6	>sp|P07281|RS19B_YEAST 40S ribosomal protein S19-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS19B PE=1 SV=2;>sp|P07280|RS19A_YEAST 40S ribosomal protein S19-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS19A PE=1 SV=2	2	6	6	6	6	6	6	38.9	38.9	38.9	15.891	144	144;144	1	30	0	29.74	By MS/MS	38.9	7239300000	7239300000	804370000	804370000	15868000000	40	40				161	3104;3105;3439;4423;7419;7942	True;True;True;True;True;True	3148;3149;3488;4485;7537;8070	11577;11578;11579;11580;11581;11582;11583;11584;11585;11586;12837;12838;12839;12840;12841;12842;16636;16637;16638;27767;27768;27769;27770;27771;29888;29889;29890;29891;29892;29893	11570;11571;11572;11573;11574;11575;11576;12869;12870;12871;12872;12873;16812;16813;28249;28250;28251;28252;28253;28254;28255;28256;28257;28258;28259;28260;28261;28262;28263;28264;28265;28266;28267;30454;30455;30456;30457;30458;30459;30460;30461;30462;30463;30464	11573;11575;12870;16813;28251;30462		
sp|P07283|PMM_YEAST	sp|P07283|PMM_YEAST	11	11	11	>sp|P07283|PMM_YEAST Phosphomannomutase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC53 PE=1 SV=1	1	11	11	11	11	11	11	41.3	41.3	41.3	29.063	254	254	1	44	0	80.811	By MS/MS	41.3	6895400000	6895400000	405610000	405610000	14819000000	38	38				162	1568;1628;2894;5099;5100;5550;7202;7325;7523;8426;8589	True;True;True;True;True;True;True;True;True;True;True	1588;1649;2934;5174;5175;5646;7318;7442;7642;8564;8729	5695;5696;5697;5698;5699;5700;6027;6028;6029;10664;10665;10666;19268;19269;19270;19271;19272;19273;19274;21038;21039;21040;26978;26979;26980;26981;26982;26983;26984;27448;27449;27450;28152;28153;28154;28155;28156;28157;31793;31794;31795;32450;32451;32452	5628;5629;5630;5631;5632;5633;6032;6033;6034;10606;10607;10608;10609;19599;19600;19601;19602;19603;19604;21360;21361;21362;27493;27494;27495;27496;27497;27498;27951;27952;28648;28649;28650;28651;28652;28653;32404;32405;33086;33087	5629;6032;10607;19600;19602;21362;27497;27951;28652;32404;33087		
sp|P07284|SYSC_YEAST	sp|P07284|SYSC_YEAST	20	20	20	>sp|P07284|SYSC_YEAST Serine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SES1 PE=1 SV=2	1	20	20	20	20	20	20	48.9	48.9	48.9	53.309	462	462	1	72	0	90.7	By MS/MS	48.9	7222700000	7222700000	277800000	277800000	16057000000	70	70				163	323;802;1384;1714;2111;3380;3864;4192;4326;5317;5440;5611;5890;6922;7002;7397;7398;7740;8545;8731	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	329;813;1402;1736;2137;3429;3917;4253;4387;5401;5532;5708;5993;7038;7118;7514;7515;7863;8685;8872	1292;1293;1294;3107;3108;3109;5030;5031;5032;6303;6304;6305;7797;7798;7799;7800;12624;12625;12626;14429;14430;14431;15873;15874;15875;15876;15877;15878;16332;16333;16334;20178;20179;20180;20627;20628;21233;22211;22212;22213;22214;22215;22216;22217;22218;22219;25996;25997;25998;26280;26281;26282;26283;27682;27683;27684;27685;27686;27687;27688;28923;28924;28925;32292;32293;32294;33013;33014;33015;33016;33017;33018	1308;1309;1310;3120;3121;3122;4925;6279;6280;6281;6282;7786;7787;7788;7789;12664;12665;12666;14610;14611;14612;14613;14614;14615;16054;16055;16056;16057;16058;16059;16528;16529;16530;16531;20518;20935;21540;22526;22527;22528;22529;22530;22531;22532;22533;26446;26447;26448;26759;26760;26761;26762;28174;28175;28176;28177;29448;29449;29450;29451;29452;29453;29454;32936;32937;32938;33623;33624;33625;33626;33627;33628	1310;3120;4925;6281;7788;12664;14614;16057;16528;20518;20935;21540;22528;26448;26762;28175;28177;29454;32936;33623	64	1
sp|P07342|ILVB_YEAST	sp|P07342|ILVB_YEAST	13	13	13	>sp|P07342|ILVB_YEAST Acetolactate synthase catalytic subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV2 PE=1 SV=1	1	13	13	13	13	13	13	25.9	25.9	25.9	74.936	687	687	1	45	0	117.56	By MS/MS	25.9	3060800000	3060800000	92751000	92751000	6432900000	40	40				164	10;486;497;2012;2289;2615;3054;3640;4226;5909;6158;6297;8680	True;True;True;True;True;True;True;True;True;True;True;True;True	10;494;505;2037;2318;2646;3098;3692;4287;6012;6263;6403;8821	31;32;33;1874;1875;1876;1921;1922;1923;7416;7417;7418;8455;8456;8457;9607;9608;11344;11345;11346;11347;11348;11349;11350;13598;13599;13600;15995;15996;15997;22276;22277;22278;23153;23154;23155;23719;23720;23721;32828;32829;32830;32831;32832;32833	43;44;45;1878;1918;1919;1920;7402;7403;7404;8469;8470;9609;9610;11350;11351;11352;11353;11354;11355;11356;13687;13688;13689;16184;16185;16186;16187;22584;22585;22586;23482;23483;23484;24106;24107;24108;33454;33455;33456;33457;33458	43;1878;1919;7402;8469;9609;11351;13689;16184;22585;23482;24107;33456		
sp|P07347|ARD1_YEAST	sp|P07347|ARD1_YEAST	3	3	3	>sp|P07347|ARD1_YEAST N-terminal acetyltransferase A complex catalytic subunit ARD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARD1 PE=1 SV=2	1	3	3	3	3	3	3	15.1	15.1	15.1	27.603	238	238	1	8	0	3.7628	By MS/MS	15.1	207600000	207600000	14829000	14829000	471190000	2	2				165	4344;4384;6951	True;True;True	4405;4446;7067	16380;16381;16382;16506;16507;26089;26090;26091	16565;16566;16686;26542;26543	16565;16686;26542		
sp|P07560|SEC4_YEAST;sp|Q99260|YPT6_YEAST	sp|P07560|SEC4_YEAST	6;1	6;1	6;1	>sp|P07560|SEC4_YEAST Ras-related protein SEC4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC4 PE=1 SV=1	2	6	6	6	6	6	6	33	33	33	23.505	215	215;215	1	18	0	14.53	By MS/MS	33	971670000	971670000	69405000	69405000	1673900000	19	19				166	1524;1656;4928;5463;6927;8252	True;True;True;True;True;True	1543;1677;5000;5556;7043;8386	5556;6115;6116;6117;18660;18661;18662;18663;18664;18665;20707;20708;20709;26013;26014;31146;31147;31148	5501;6108;6109;6110;6111;18995;18996;18997;18998;18999;19000;19001;21012;21013;21014;26463;31752;31753;31754;31755	5501;6109;18998;21012;26463;31755		
sp|P07703|RPAC1_YEAST	sp|P07703|RPAC1_YEAST	4	4	4	>sp|P07703|RPAC1_YEAST DNA-directed RNA polymerases I and III subunit RPAC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPC40 PE=1 SV=1	1	4	4	4	4	4	4	16.7	16.7	16.7	37.686	335	335	1	10	0	10.603	By MS/MS	16.7	242420000	242420000	14260000	14260000	457600000	2	2				167	233;758;4722;6199	True;True;True;True	237;769;4788;6304	930;931;2959;2960;2961;17842;17843;17844;23321;23322	980;2995;18106;23656	980;2995;18106;23656		
sp|P07806-2|SYV_YEAST;sp|P07806|SYV_YEAST	sp|P07806-2|SYV_YEAST;sp|P07806|SYV_YEAST	19;19	19;19	19;19	>sp|P07806-2|SYV_YEAST Isoform Cytoplasmic of Valine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VAS1;>sp|P07806|SYV_YEAST Valine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288	2	19	19	19	19	19	19	19.8	19.8	19.8	120.12	1058	1058;1104	1	69	0	80.478	By MS/MS	19.8	3846900000	3846900000	65202000	65202000	8328300000	64	64				168	959;1320;1874;1936;2209;2650;3821;3822;3876;4475;4476;4528;4842;5160;5669;6642;6656;7138;7139	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	972;1338;1898;1961;2236;2681;3874;3875;3929;4539;4540;4592;4911;5235;5767;6754;6768;7254;7255	3650;3651;3652;4810;4811;4812;6931;6932;6933;7151;7152;7153;8155;8156;8157;8158;8159;8160;9746;9747;14285;14286;14287;14288;14289;14290;14291;14292;14293;14294;14295;14296;14297;14298;14299;14466;14467;14468;16861;16862;16863;16864;16865;16866;17031;17032;17033;17034;17035;18299;18300;18301;19500;19501;19502;21416;21417;21418;24956;24957;24958;25024;25025;25026;26741;26742;26743;26744;26745	3613;3614;3615;4688;4689;4690;6942;6943;7165;7166;7167;7168;7169;8151;8152;8153;8154;8155;8156;9768;14480;14481;14482;14483;14484;14485;14486;14487;14488;14489;14490;14491;14492;14493;14494;14495;14642;14643;14644;17086;17087;17088;17089;17090;17091;17238;17239;17240;17241;17242;18560;18561;18562;19829;19830;19831;21710;21711;25313;25314;25315;25401;27251;27252;27253;27254	3613;4690;6942;7167;8152;9768;14484;14486;14644;17086;17091;17241;18560;19830;21710;25315;25401;27251;27252		
sp|P07991|OAT_YEAST	sp|P07991|OAT_YEAST	12	12	12	>sp|P07991|OAT_YEAST Ornithine aminotransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAR2 PE=1 SV=2	1	12	12	12	12	12	12	43.6	43.6	43.6	46.085	424	424	1	38	0	47.838	By MS/MS	43.6	1907900000	1907900000	79494000	79494000	4101800000	25	25				169	52;109;164;278;388;392;2475;4267;6205;7136;8497;8670	True;True;True;True;True;True;True;True;True;True;True;True	52;111;168;284;394;398;2506;4328;6310;7252;8635;8811	211;212;213;470;471;472;698;699;1126;1127;1128;1520;1521;1522;1523;1524;1525;1536;1537;1538;9129;9130;9131;16126;23344;23345;26735;26736;26737;32084;32085;32086;32087;32088;32089;32787;32788;32789	255;550;551;789;1150;1151;1152;1525;1526;1527;1528;1538;1539;1540;9165;9166;16311;23688;23689;27243;27244;32715;32716;33408;33409	255;550;789;1152;1527;1540;9166;16311;23688;27244;32716;33408		
sp|P08018|PBS2_YEAST	sp|P08018|PBS2_YEAST	2	2	2	>sp|P08018|PBS2_YEAST MAP kinase kinase PBS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PBS2 PE=1 SV=4	1	2	2	2	2	2	2	5.5	5.5	5.5	72.719	668	668	1	6	0	2.8047	By MS/MS	5.5	33403000	33403000	927870	927870	70572000	2	2				170	6304;6362	True;True	6410;6469	23742;23743;23744;23934;23935;23936	24129;24130;24131;24311	24130;24311		
sp|P08067|UCRI_YEAST	sp|P08067|UCRI_YEAST	5	5	5	>sp|P08067|UCRI_YEAST Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIP1 PE=1 SV=1	1	5	5	5	5	5	5	22.8	22.8	22.8	23.365	215	215	1	17	0	9.8579	By MS/MS	22.8	739120000	739120000	73912000	73912000	1621300000	14	14				171	2798;4037;7355;7716;8347	True;True;True;True;True	2834;4091;7472;7839;8482	10244;10245;10246;15162;15163;15164;27554;27555;28830;28831;28832;31476;31477;31478;31479;31480;31481	10221;10222;15303;15304;28067;28068;29356;29357;29358;32079;32080;32081;32082;32083	10221;15304;28068;29358;32083		
sp|P08263ups|GSTA1_HUMAN_UPS	sp|P08263ups|GSTA1_HUMAN_UPS	4	4	4	>sp|P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	1	4	4	4	4	4	4	19.9	19.9	19.9	25.5	221	221	1	4	0	9.1726	By MS/MS	19.9	74671000	74671000	6788300	6788300	202980000	4	4				172	3773;4551;5169;6337	True;True;True;True	3826;4615;5244;6443	14137;17134;19531;23855	14347;17330;19860;24249	14347;17330;19860;24249		
sp|P08417|FUMH_YEAST	sp|P08417|FUMH_YEAST	12	12	12	>sp|P08417|FUMH_YEAST Fumarate hydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUM1 PE=1 SV=2	1	12	12	12	12	12	12	35.5	35.5	35.5	53.151	488	488	1	38	0	50.342	By MS/MS	35.5	2197100000	2197100000	91547000	91547000	4611800000	36	36				173	258;300;1480;1836;4613;5352;6331;6660;7076;7177;7305;8751	True;True;True;True;True;True;True;True;True;True;True;True	264;306;1498;1859;4678;5440;6437;6774;7192;7293;7422;8892	1050;1051;1052;1213;1214;1215;5328;5329;5330;6721;6722;6723;17444;17445;20306;20307;20308;20309;20310;20311;23831;23832;25077;25078;25079;26545;26546;26547;26548;26549;26550;26889;26890;26891;27380;27381;27382;33099	1093;1094;1095;1241;1242;1243;1244;1245;5212;5213;5214;6662;6663;6664;17688;20632;20633;20634;20635;20636;24218;24219;25505;25506;25507;27047;27048;27049;27050;27051;27052;27411;27886;27887;27888;33712	1093;1243;5213;6662;17688;20635;24219;25507;27051;27411;27888;33712		
sp|P08518|RPB2_YEAST	sp|P08518|RPB2_YEAST	5	5	5	>sp|P08518|RPB2_YEAST DNA-directed RNA polymerase II subunit RPB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPB2 PE=1 SV=2	1	5	5	5	5	5	5	5.6	5.6	5.6	138.75	1224	1224	1	10	0	22.702	By MS/MS	5.6	208670000	208670000	3536700	3536700	447870000	7	7				174	4793;5458;7471;7527;7543	True;True;True;True;True	4862;5551;7589;7646;7662	18124;20693;27954;27955;28165;28166;28167;28233;28234;28235	18389;21002;28458;28459;28661;28662;28663;28740	18389;21002;28459;28663;28740		
sp|P08524|FPPS_YEAST	sp|P08524|FPPS_YEAST	9	9	9	>sp|P08524|FPPS_YEAST Farnesyl pyrophosphate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG20 PE=1 SV=2	1	9	9	9	9	9	9	29	29	29	40.483	352	352	1	26	0	92.892	By MS/MS	29	1960800000	1960800000	103200000	103200000	4062700000	24	24				175	101;339;741;1309;2751;3382;3456;7262;7476	True;True;True;True;True;True;True;True;True	103;345;752;1327;2784;3431;3505;7378;7594	440;441;442;1334;2906;2907;2908;4775;4776;4777;10076;10077;10078;12630;12631;12632;12633;12634;12635;12918;12919;12920;27203;27976;27977;27978	510;511;512;1344;2952;2953;2954;4663;4664;4665;10063;10064;10065;12670;12671;12672;12673;12674;12970;12971;12972;27698;28480;28481;28482	510;1344;2954;4665;10065;12670;12970;27698;28482		
sp|P08525|QCR8_YEAST	sp|P08525|QCR8_YEAST	1	1	1	>sp|P08525|QCR8_YEAST Cytochrome b-c1 complex subunit 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR8 PE=1 SV=2	1	1	1	1	1	1	1	12.8	12.8	12.8	10.974	94	94	1	3	0.003876	1.389	By MS/MS	12.8	110440000	110440000	18406000	18406000	232460000	3	3				176	5552	True	5648	21044;21045;21046	21366;21367;21368	21368		
sp|P08539|GPA1_YEAST	sp|P08539|GPA1_YEAST	1	1	1	>sp|P08539|GPA1_YEAST Guanine nucleotide-binding protein alpha-1 subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPA1 PE=1 SV=3	1	1	1	1	1	1	1	2.8	2.8	2.8	54.075	472	472	1	1	0	4.7783	By MS/MS	2.8	19336000	19336000	690580	690580	52561000	1	1				177	760	True	771	2964	2998	2998		
sp|P08566|ARO1_YEAST	sp|P08566|ARO1_YEAST	19	19	19	>sp|P08566|ARO1_YEAST Pentafunctional AROM polypeptide OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO1 PE=1 SV=1	1	19	19	19	19	19	19	13.9	13.9	13.9	174.75	1588	1588	1	47	0	30.293	By MS/MS	13.9	2228500000	2228500000	27177000	27177000	5405100000	25	25				178	43;751;863;1718;2075;2422;2537;3150;3550;3614;4323;4747;5401;5920;6725;6958;6983;7640;8531	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	43;762;874;1740;2101;2452;2568;3194;3600;3664;4384;4814;5493;6023;6840;7074;7099;7762;8671	159;160;161;2936;2937;2938;3316;3317;6315;6316;6317;7678;7679;7680;8922;9352;9353;9354;11751;11752;11753;11754;13267;13268;13473;13474;16325;16326;17947;17948;17949;20490;20491;20492;22307;22308;25303;25304;25305;26108;26109;26110;26207;28578;32227;32228;32229	187;2975;3307;3308;6290;6291;6292;7665;7666;8951;9391;11756;11757;11758;11759;13302;13524;16522;16523;18207;18208;20803;20804;20805;22610;25740;26558;26664;29106;32856;32857;32858	187;2975;3307;6292;7665;8951;9391;11759;13302;13524;16523;18208;20804;22610;25740;26558;26664;29106;32856		
sp|P09064|IF2B_YEAST	sp|P09064|IF2B_YEAST	5	5	5	>sp|P09064|IF2B_YEAST Eukaryotic translation initiation factor 2 subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUI3 PE=1 SV=2	1	5	5	5	5	5	5	18.6	18.6	18.6	31.574	285	285	1	12	0	9.7673	By MS/MS	18.6	412150000	412150000	24244000	24244000	931640000	11	11				179	210;1747;3701;7141;7198	True;True;True;True;True	214;1769;3753;7257;7314	860;6403;13807;13808;13809;13810;26749;26750;26751;26969;26970;26971	926;6370;13926;13927;13928;13929;27256;27257;27258;27484;27485;27486	926;6370;13928;27256;27486		
sp|P09201|F16P_YEAST	sp|P09201|F16P_YEAST	9	9	9	>sp|P09201|F16P_YEAST Fructose-1,6-bisphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FBP1 PE=1 SV=2	1	9	9	9	9	9	9	30.5	30.5	30.5	38.262	348	348	1	31	0	24.512	By MS/MS	30.5	1188900000	1188900000	74303000	74303000	2496100000	18	18				180	131;1178;2231;4720;5973;6168;7113;7879;8729	True;True;True;True;True;True;True;True;True	134;1195;2259;4786;6076;6273;7229;8007;8870	563;564;565;566;567;568;4363;4364;4365;8259;17836;17837;17838;22492;22493;22494;23188;23189;23190;23191;23192;26667;26668;26669;29622;29623;33005;33006;33007;33008;33009	664;665;666;4280;4281;8262;18102;22772;22773;22774;23510;23511;23512;23513;23514;27173;27174;30164;33616;33617;33618;33619	664;4280;8262;18102;22772;23510;27173;30164;33618		
sp|P09232|PRTB_YEAST	sp|P09232|PRTB_YEAST	7	7	7	>sp|P09232|PRTB_YEAST Cerevisin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRB1 PE=1 SV=1	1	7	7	7	7	7	7	12.3	12.3	12.3	69.621	635	635	1	21	0	27.21	By MS/MS	12.3	1136900000	1136900000	47372000	47372000	2492400000	15	15				181	310;682;2879;2965;4808;6695;8601	True;True;True;True;True;True;True	316;693;2919;3007;4877;6810;8741	1249;1250;1251;2697;2698;2699;10612;10613;10614;10946;10947;10948;18176;18177;18178;25194;25195;25196;32485;32486;32487	1273;2747;2748;2749;10556;10557;10558;10921;10922;10923;18439;18440;25624;25625;25626;33109;33110;33111	1273;2748;10556;10921;18440;25624;33110		
